word,meaning
culture,文化
even,…（で）さえ
wish,…であればと思う
athlete,スポーツ選手
popular,人気がある
though,もっとも…だが
field,分野他：
one day,ある日
gender,名：〈社会的・文化的〉性（差）
sex,名：性（別）
bias,名：偏見；（悪い）先入観
biased,形：偏見を抱いた
prejudice,名：偏見；先入観
stereotype,名：固定観念
deeply,副：非常に；深く
deepen,他：を深める,自：深まる,,
shallow,形：浅い；浅はかな
root,名：根；根源,他：《be -ed》定着して；を根付かせる,,
stem,自：生じる；由来する,名：茎；幹,,
trunk,名：〈木の〉幹；〈自動車の〉トランク；ゾウの鼻
amazing,形：素晴らしい；びっくりさせるような
amaze,他：をびっくりさせる
startle,他：をびっくりさせる
fix,他：を修理する；を固定する；〈食事など〉を用意する
fixed,形：固定した；決められた
pin,他：をピンで留める；を組み伏せる
pin down 〜,〜を突き止める
view,名：見解；眺め；視野
view A as B,AをBとみなす
with a view to ...ing,…するつもりで
in view of　〜,〜から判断して
